"","year","month","gov_gop","sen_gop","rep_gop","gov_dem","sen_dem","rep_dem","president","close","unemployment"
"1271",71,"October",NA,NA,NA,NA,NA,NA,NA,94.230003,NA
"1272",71,"November",NA,NA,NA,NA,NA,NA,NA,93.989998,NA
"1273",71,"December",NA,NA,NA,NA,NA,NA,NA,102.089996,NA
"1274",72,"January",NA,NA,NA,NA,NA,NA,NA,103.940002,NA
"1275",72,"February",NA,NA,NA,NA,NA,NA,NA,106.57,NA
"1276",72,"March",NA,NA,NA,NA,NA,NA,NA,107.199997,NA
"1277",72,"April",NA,NA,NA,NA,NA,NA,NA,107.669998,NA
"1278",72,"May",NA,NA,NA,NA,NA,NA,NA,109.529999,NA
"1279",72,"June",NA,NA,NA,NA,NA,NA,NA,107.139999,NA
"1280",72,"July",NA,NA,NA,NA,NA,NA,NA,107.389999,NA
"1281",72,"August",NA,NA,NA,NA,NA,NA,NA,111.089996,NA
"1282",72,"September",NA,NA,NA,NA,NA,NA,NA,110.550003,NA
"1283",72,"October",NA,NA,NA,NA,NA,NA,NA,111.580002,NA
"1284",72,"November",NA,NA,NA,NA,NA,NA,NA,116.669998,NA
"1285",72,"December",NA,NA,NA,NA,NA,NA,NA,118.050003,NA
"1286",73,"January",NA,NA,NA,NA,NA,NA,NA,116.029999,NA
"1287",73,"February",NA,NA,NA,NA,NA,NA,NA,111.68,NA
"1288",73,"March",NA,NA,NA,NA,NA,NA,NA,111.519997,NA
"1289",73,"April",NA,NA,NA,NA,NA,NA,NA,106.970001,NA
"1290",73,"May",NA,NA,NA,NA,NA,NA,NA,104.949997,NA
"1291",73,"June",NA,NA,NA,NA,NA,NA,NA,104.260002,NA
"1292",73,"July",NA,NA,NA,NA,NA,NA,NA,108.220001,NA
"1293",73,"August",NA,NA,NA,NA,NA,NA,NA,104.25,NA
"1294",73,"September",NA,NA,NA,NA,NA,NA,NA,108.43,NA
"1295",73,"October",NA,NA,NA,NA,NA,NA,NA,108.290001,NA
"1296",73,"November",NA,NA,NA,NA,NA,NA,NA,95.959999,NA
"1297",73,"December",NA,NA,NA,NA,NA,NA,NA,97.550003,NA
"1298",74,"January",NA,NA,NA,NA,NA,NA,NA,96.57,NA
"1299",74,"February",NA,NA,NA,NA,NA,NA,NA,96.220001,NA
"1300",74,"March",NA,NA,NA,NA,NA,NA,NA,93.980003,NA
"1301",74,"April",NA,NA,NA,NA,NA,NA,NA,90.309998,NA
"1302",74,"May",NA,NA,NA,NA,NA,NA,NA,87.279999,NA
"1303",74,"June",NA,NA,NA,NA,NA,NA,NA,86,NA
"1304",74,"July",NA,NA,NA,NA,NA,NA,NA,79.309998,NA
"1305",74,"August",NA,NA,NA,NA,NA,NA,NA,72.150002,NA
"1306",74,"September",NA,NA,NA,NA,NA,NA,NA,63.540001,NA
"1307",74,"October",NA,NA,NA,NA,NA,NA,NA,73.900002,NA
"1308",74,"November",NA,NA,NA,NA,NA,NA,NA,69.970001,NA
"1309",74,"December",NA,NA,NA,NA,NA,NA,NA,68.559998,NA
"1310",75,"January",NA,NA,NA,NA,NA,NA,NA,76.980003,NA
"1311",75,"February",NA,NA,NA,NA,NA,NA,NA,81.589996,NA
"1312",75,"March",NA,NA,NA,NA,NA,NA,NA,83.360001,NA
"1313",75,"April",NA,NA,NA,NA,NA,NA,NA,87.300003,NA
"1314",75,"May",NA,NA,NA,NA,NA,NA,NA,91.150002,NA
"1315",75,"June",NA,NA,NA,NA,NA,NA,NA,95.190002,NA
"1316",75,"July",NA,NA,NA,NA,NA,NA,NA,88.75,NA
"1317",75,"August",NA,NA,NA,NA,NA,NA,NA,86.879997,NA
"1318",75,"September",NA,NA,NA,NA,NA,NA,NA,83.870003,NA
"1319",75,"October",NA,NA,NA,NA,NA,NA,NA,89.040001,NA
"1320",75,"November",NA,NA,NA,NA,NA,NA,NA,91.239998,NA
"1321",75,"December",NA,NA,NA,NA,NA,NA,NA,90.190002,NA
"1322",76,"January",NA,NA,NA,NA,NA,NA,NA,100.860001,NA
"1323",76,"February",NA,NA,NA,NA,NA,NA,NA,99.709999,NA
"1324",76,"March",NA,NA,NA,NA,NA,NA,NA,102.769997,NA
"1325",76,"April",NA,NA,NA,NA,NA,NA,NA,101.639999,NA
"1326",76,"May",NA,NA,NA,NA,NA,NA,NA,100.18,NA
"1327",76,"June",NA,NA,NA,NA,NA,NA,NA,104.279999,NA
"1328",76,"July",NA,NA,NA,NA,NA,NA,NA,103.440002,NA
"1329",76,"August",NA,NA,NA,NA,NA,NA,NA,102.910004,NA
